word,happiness_rank,happiness_average,happiness_standard_deviation,twitter_rank,google_rank,nyt_rank,lyrics_rank,in_twitter,in_google,in_nyt,in_lyrics,n_corpora,valence_band
congratulations,25,8.0,1.6288,2246.0,,,,True,False,False,False,1,positive
weekend,26,8.0,1.2936,317.0,,833.0,2256.0,True,False,True,True,3,positive
celebrate,27,7.98,1.1516,1606.0,,3574.0,2108.0,True,False,True,True,3,positive
comedy,28,7.98,1.1516,1444.0,,2566.0,,True,False,True,False,2,positive
jokes,29,7.98,0.9792,2812.0,,,3808.0,True,False,False,True,2,positive
rich,30,7.98,1.3169,1625.0,1221.0,1469.0,890.0,True,True,True,True,4,positive
victory,31,7.98,1.0784,1809.0,2341.0,687.0,2845.0,True,True,True,True,4,positive
christmas,32,7.96,1.293,138.0,3846.0,2097.0,599.0,True,True,True,True,4,positive
free,33,7.96,1.261,85.0,342.0,393.0,219.0,True,True,True,True,4,positive
friendship,34,7.96,1.1241,4273.0,3098.0,3669.0,3980.0,True,True,True,True,4,positive
fun,35,7.96,1.3087,110.0,4135.0,2189.0,463.0,True,True,True,True,4,positive
holidays,36,7.96,1.261,1204.0,,,,True,False,False,False,1,positive
loved,37,7.96,1.1599,465.0,2178.0,890.0,517.0,True,True,True,True,4,positive
loves,38,7.96,1.3696,780.0,,,653.0,True,False,False,True,2,positive
loving,39,7.96,1.0093,947.0,4396.0,230.0,527.0,True,True,True,True,4,positive
beach,40,7.94,1.0577,573.0,3596.0,551.0,1475.0,True,True,True,True,4,positive
hahaha,41,7.94,1.5572,428.0,,,,True,False,False,False,1,positive
kissing,42,7.94,1.1323,,,,2052.0,False,False,False,True,1,positive
sunshine,43,7.94,1.1678,2080.0,,,950.0,True,False,False,True,2,positive
beautiful,44,7.92,1.1753,266.0,1159.0,1754.0,467.0,True,True,True,True,4,positive
delicious,45,7.92,1.2591,1565.0,,,,True,False,False,False,1,positive
friends,46,7.92,1.1925,258.0,658.0,347.0,321.0,True,True,True,True,4,positive
funny,47,7.92,1.0467,358.0,,3194.0,755.0,True,False,True,True,3,positive
outstanding,48,7.92,1.14,4468.0,4721.0,1797.0,,True,True,True,False,3,positive
paradise,49,7.92,1.3974,3096.0,,,1146.0,True,False,False,True,2,positive
sweetest,50,7.92,1.2911,,,,2232.0,False,False,False,True,1,positive
vacation,51,7.92,1.9042,952.0,,3251.0,3780.0,True,False,True,True,3,positive
butterflies,52,7.92,1.077,,,,4175.0,False,False,False,True,1,positive
freedom,53,7.9,1.4178,1465.0,933.0,1844.0,879.0,True,True,True,True,4,positive
flower,54,7.88,1.1718,2769.0,3675.0,,1929.0,True,True,False,True,3,positive
great,55,7.88,1.2061,94.0,110.0,219.0,579.0,True,True,True,True,4,positive
sunlight,56,7.88,1.4934,,,,2316.0,False,False,False,True,1,positive
sweetheart,57,7.88,1.272,3055.0,,,2919.0,True,False,False,True,2,positive
sweetness,58,7.88,1.1891,,,,4465.0,False,False,False,True,1,positive
award,59,7.86,1.5651,1715.0,,1429.0,,True,False,True,False,2,positive
chocolate,60,7.86,1.0304,436.0,,,2695.0,True,False,False,True,2,positive
hahahaha,61,7.86,1.7025,1341.0,,,,True,False,False,False,1,positive
heaven,62,7.86,1.578,1294.0,1615.0,3939.0,392.0,True,True,True,True,4,positive
peace,63,7.86,1.3403,675.0,702.0,775.0,559.0,True,True,True,True,4,positive
splendid,64,7.86,1.457,,4763.0,,,False,True,False,False,1,positive
success,65,7.86,1.6414,657.0,847.0,1338.0,3316.0,True,True,True,True,4,positive
enjoying,66,7.84,1.5032,875.0,,,,True,False,False,False,1,positive
kissed,67,7.84,1.5048,,,,1322.0,False,False,False,True,1,positive
attraction,68,7.82,1.024,,,,4179.0,False,False,False,True,1,positive
celebrated,69,7.8,1.178,,3720.0,3432.0,,False,True,True,False,2,positive
hero,70,7.8,1.3997,1867.0,3362.0,3816.0,1648.0,True,True,True,True,4,positive
hugs,71,7.8,1.4428,1868.0,,,,True,False,False,False,1,positive
positive,72,7.8,1.2454,1728.0,958.0,2139.0,3575.0,True,True,True,True,4,positive
sun,73,7.8,1.3553,439.0,978.0,2010.0,214.0,True,True,True,True,4,positive
birthday,74,7.78,1.9091,190.0,,2241.0,2529.0,True,False,True,True,3,positive
blessed,75,7.78,1.2824,1733.0,3876.0,,1618.0,True,True,False,True,3,positive
fantastic,76,7.78,1.0934,1354.0,,,,True,False,False,False,1,positive
winner,77,7.78,1.6938,1793.0,,1916.0,3199.0,True,False,True,True,3,positive
delight,78,7.78,1.4181,,3954.0,,2987.0,False,True,False,True,2,positive
beauty,79,7.76,1.6107,1032.0,1611.0,2519.0,1013.0,True,True,True,True,4,positive
butterfly,80,7.76,1.3334,4332.0,,,2836.0,True,False,False,True,2,positive
entertainment,81,7.76,1.2216,2247.0,,1712.0,,True,False,True,False,2,positive
funniest,82,7.76,1.5592,3451.0,,,,True,False,False,False,1,positive
honesty,83,7.76,1.2707,,,,3653.0,False,False,False,True,1,positive
sky,84,7.76,1.0797,842.0,2374.0,4221.0,274.0,True,True,True,True,4,positive
smiles,85,7.76,1.7907,2971.0,,,1782.0,True,False,False,True,2,positive
succeed,86,7.76,1.6971,,4088.0,3212.0,4270.0,False,True,True,True,3,positive
wonderful,87,7.76,1.7907,749.0,2841.0,1571.0,1188.0,True,True,True,True,4,positive
glorious,88,7.74,1.3969,,4792.0,,3926.0,False,True,False,True,2,positive
kisses,89,7.74,1.192,2942.0,,,1340.0,True,False,False,True,2,positive
promotion,90,7.74,1.3822,3037.0,4108.0,4849.0,,True,True,True,False,3,positive
family,91,7.72,1.3099,203.0,235.0,109.0,738.0,True,True,True,True,4,positive
gift,92,7.72,1.3407,443.0,2734.0,2672.0,1710.0,True,True,True,True,4,positive
humor,93,7.72,1.0887,1516.0,,1826.0,,True,False,True,False,2,positive
romantic,94,7.72,1.1959,2535.0,3812.0,4200.0,4201.0,True,True,True,True,4,positive
cupcakes,95,7.7,1.233,3799.0,,,,True,False,False,False,1,positive
festival,96,7.7,1.0738,2024.0,,1020.0,,True,False,True,False,2,positive
hahahahaha,97,7.7,1.359,3436.0,,,,True,False,False,False,1,positive
honour,98,7.7,1.2495,,2713.0,,,False,True,False,False,1,positive
relax,99,7.7,1.0738,1986.0,,,1752.0,True,False,False,True,2,positive
weekends,100,7.7,1.7871,4100.0,,,,True,False,False,False,1,positive
angel,101,7.68,1.2362,1299.0,4854.0,,578.0,True,True,False,True,3,positive
b-day,102,7.68,1.5312,,,,,False,False,False,False,0,positive
bonus,103,7.68,1.463,3131.0,,,,True,False,False,False,1,positive
brilliant,104,7.68,1.6218,1843.0,3670.0,3679.0,,True,True,True,False,3,positive
diamonds,105,7.68,1.4769,,,,1457.0,False,False,False,True,1,positive
holiday,106,7.68,1.3005,434.0,,1895.0,2241.0,True,False,True,True,3,positive
lucky,107,7.68,1.2688,537.0,,4327.0,975.0,True,False,True,True,3,positive
mother,108,7.68,1.6714,626.0,437.0,170.0,549.0,True,True,True,True,4,positive
super,109,7.68,1.5964,408.0,,2673.0,1726.0,True,False,True,True,3,positive
amazing,110,7.66,1.493,316.0,,,2297.0,True,False,False,True,2,positive
angels,111,7.66,1.4654,3233.0,4944.0,,815.0,True,True,False,True,3,positive
enjoy,112,7.66,1.4654,518.0,2605.0,3091.0,1878.0,True,True,True,True,4,positive
friend,113,7.66,1.5066,186.0,768.0,394.0,308.0,True,True,True,True,4,positive
friendly,114,7.66,1.5467,1841.0,3095.0,4290.0,3042.0,True,True,True,True,4,positive
mother's,115,7.66,1.2875,,3434.0,,,False,True,False,False,1,positive
profit,116,7.66,1.239,1890.0,2140.0,2107.0,,True,True,True,False,3,positive
finest,117,7.66,1.3875,,,,3225.0,False,False,False,True,1,positive
bday,118,7.64,1.6753,825.0,,,,True,False,False,False,1,positive
champion,119,7.64,1.2249,3165.0,,1772.0,,True,False,True,False,2,positive
grandmother,120,7.64,1.3516,,,505.0,,False,False,True,False,1,positive
haha,121,7.64,1.3815,135.0,,,3211.0,True,False,False,True,2,positive
kiss,122,7.64,1.7585,711.0,,,314.0,True,False,False,True,2,positive
kitten,123,7.64,1.2898,3864.0,,,,True,False,False,False,1,positive
miracle,124,7.64,1.8926,2510.0,,,1924.0,True,False,False,True,2,positive
mom,125,7.64,1.8709,426.0,,4015.0,1269.0,True,False,True,True,3,positive
sweet,126,7.64,1.0645,431.0,2347.0,2708.0,243.0,True,True,True,True,4,positive
blessings,127,7.62,1.6274,3957.0,,,4242.0,True,False,False,True,2,positive
bright,128,7.62,1.1409,1344.0,2152.0,3001.0,649.0,True,True,True,True,4,positive
cutest,129,7.62,1.0859,4009.0,,,,True,False,False,False,1,positive
entertaining,130,7.62,1.0859,3616.0,,,,True,False,False,False,1,positive
excited,131,7.62,1.3981,508.0,3790.0,,3077.0,True,True,False,True,3,positive
excitement,132,7.62,1.6523,2972.0,4058.0,,,True,True,False,False,2,positive
joke,133,7.62,1.3981,821.0,,,1685.0,True,False,False,True,2,positive
millionaire,134,7.62,2.1275,3035.0,,,,True,False,False,False,1,positive
prize,135,7.62,1.2103,2519.0,4742.0,2464.0,2874.0,True,True,True,True,4,positive
succeeded,136,7.62,1.1409,,2391.0,4525.0,,False,True,True,False,2,positive
successfully,137,7.62,1.2599,,3281.0,4960.0,,False,True,True,False,2,positive
winners,138,7.62,1.5372,3381.0,,3518.0,,True,False,True,False,2,positive
shines,139,7.6,1.5944,,,,1435.0,False,False,False,True,1,positive
awesome,140,7.6,1.5908,251.0,,,,True,False,False,False,1,positive
genius,141,7.6,1.2454,2306.0,3097.0,,4716.0,True,True,False,True,3,positive
achievement,142,7.58,1.4299,2737.0,3160.0,4591.0,,True,True,True,False,3,positive
cake,143,7.58,1.1082,696.0,,,2200.0,True,False,False,True,2,positive
cheers,144,7.58,1.4721,2675.0,,,,True,False,False,False,1,positive
exciting,145,7.58,1.3415,1485.0,,4431.0,,True,False,True,False,2,positive
goodness,146,7.58,1.3716,2274.0,,,4047.0,True,False,False,True,2,positive
hug,147,7.58,1.4721,1392.0,,,2497.0,True,False,False,True,2,positive
income,148,7.58,1.6047,2795.0,798.0,298.0,,True,True,True,False,3,positive
party,149,7.58,1.4581,165.0,367.0,384.0,446.0,True,True,True,True,4,positive
puppy,150,7.58,1.4581,1517.0,,,,True,False,False,False,1,positive
smiling,151,7.58,1.7034,3530.0,,,1518.0,True,False,False,True,2,positive
song,152,7.58,1.3415,147.0,2121.0,1898.0,248.0,True,True,True,True,4,positive
succeeding,153,7.58,1.3415,,,4446.0,,False,False,True,False,1,positive
tasty,154,7.58,1.1265,3345.0,,,,True,False,False,False,1,positive
victories,155,7.58,1.7623,,,4210.0,,False,False,True,False,1,positive
achieved,156,7.56,1.3726,,2001.0,4401.0,,False,True,True,False,2,positive
billion,157,7.56,1.6679,2689.0,3797.0,297.0,,True,True,True,False,3,positive
cakes,158,7.56,1.4591,4497.0,,,,True,False,False,False,1,positive
easier,159,7.56,1.1457,1716.0,3114.0,2585.0,2152.0,True,True,True,True,4,positive
flowers,160,7.56,1.4309,2820.0,2250.0,637.0,1154.0,True,True,True,True,4,positive
gifts,161,7.56,1.9395,1668.0,3942.0,3358.0,3754.0,True,True,True,True,4,positive
gold,162,7.56,1.1095,605.0,1030.0,1343.0,607.0,True,True,True,True,4,positive
merry,163,7.56,1.1457,510.0,,,1753.0,True,False,False,True,2,positive
families,164,7.54,1.2811,3378.0,1153.0,923.0,,True,True,True,False,3,positive
handsome,165,7.54,1.2488,3289.0,4635.0,,3695.0,True,True,False,True,3,positive
lovers,166,7.54,1.2811,3593.0,,,1065.0,True,False,False,True,2,positive
affection,167,7.53,1.5289,,3564.0,,2796.0,False,True,False,True,2,positive
candy,168,7.52,1.4879,1126.0,,,1337.0,True,False,False,True,2,positive
cute,169,7.52,1.1993,295.0,,,2354.0,True,False,False,True,2,positive
diamond,170,7.52,1.7171,1992.0,,2827.0,1372.0,True,False,True,True,3,positive
earnings,171,7.52,1.4177,,4361.0,582.0,,False,True,True,False,2,positive
interesting,172,7.52,1.1822,602.0,1165.0,2391.0,,True,True,True,False,3,positive
peacefully,173,7.52,1.0544,,,1718.0,,False,False,True,False,1,positive
praise,174,7.52,1.4741,3300.0,3301.0,,1465.0,True,True,False,True,3,positive
relaxing,175,7.52,1.2162,1904.0,,,,True,False,False,False,1,positive
roses,176,7.52,1.2493,3748.0,,,1643.0,True,False,False,True,2,positive
saturdays,177,7.52,1.729,,,2051.0,,False,False,True,False,1,positive
faithful,178,7.51,1.3248,,3479.0,,2637.0,False,True,False,True,2,positive
heavens,179,7.51,1.7335,,,,2321.0,False,False,False,True,1,positive
cherish,180,7.5,1.4743,,,,3823.0,False,False,False,True,1,positive
comfort,181,7.5,1.1473,2483.0,3142.0,3810.0,1532.0,True,True,True,True,4,positive
congrats,182,7.5,1.5419,969.0,,,,True,False,False,False,1,positive
cupcake,183,7.5,1.7642,,,,,False,False,False,False,0,positive
earn,184,7.5,1.3439,2014.0,,3662.0,3810.0,True,False,True,True,3,positive
extraordinary,185,7.5,1.374,,2904.0,818.0,,False,True,True,False,2,positive
glory,186,7.5,1.6067,2487.0,2558.0,,969.0,True,True,False,True,3,positive
hilarious,187,7.5,1.9821,1386.0,,,,True,False,False,False,1,positive
moonlight,188,7.5,1.359,,,,1326.0,False,False,False,True,1,positive
optimistic,189,7.5,1.3132,,,4110.0,,False,False,True,False,1,positive
peaceful,190,7.5,1.0926,4916.0,4769.0,,3251.0,True,True,False,True,3,positive
romance,191,7.5,1.4321,3144.0,,,1396.0,True,False,False,True,2,positive
feast,192,7.49,1.6473,,,,4050.0,False,False,False,True,1,positive
attractive,193,7.48,0.9739,4966.0,3658.0,3980.0,,True,True,True,False,3,positive
glad,194,7.48,1.5151,451.0,2828.0,4831.0,833.0,True,True,True,True,4,positive
grandma,195,7.48,1.5016,2802.0,,,4599.0,True,False,False,True,2,positive
internet,196,7.48,1.313,533.0,3835.0,1330.0,,True,True,True,False,3,positive
pleasant,197,7.48,1.2162,,3049.0,4478.0,,False,True,True,False,2,positive
profits,198,7.48,1.3285,,3109.0,2141.0,,False,True,True,False,2,positive
smart,199,7.48,1.3738,1302.0,,3745.0,1952.0,True,False,True,True,3,positive
x-mas,200,7.48,1.821,,,,,False,False,False,False,0,positive
babies,201,7.46,1.5012,2129.0,,,2077.0,True,False,False,True,2,positive
cheer,202,7.46,1.6807,1756.0,,,3198.0,True,False,False,True,2,positive
courage,203,7.46,1.1817,4578.0,3003.0,3238.0,2789.0,True,True,True,True,4,positive
enthusiasm,204,7.46,1.1287,,3780.0,4375.0,,False,True,True,False,2,positive
honest,205,7.46,1.1287,1518.0,3348.0,4328.0,2375.0,True,True,True,True,4,positive
loyal,206,7.46,1.2488,,,3925.0,,False,False,True,False,1,positive
opportunities,207,7.46,1.0919,4313.0,2239.0,3283.0,,True,True,True,False,3,positive
triumph,208,7.46,1.8318,,4335.0,4913.0,,False,True,True,False,2,positive
wow,209,7.46,1.4458,281.0,,,1814.0,True,False,False,True,2,positive
jewels,210,7.46,1.6153,,,,2854.0,False,False,False,True,1,positive
forests,211,7.45,1.332,,4405.0,,,False,True,False,False,1,positive
apple,212,7.44,1.2316,633.0,,2983.0,2320.0,True,False,True,True,3,positive
dreams,213,7.44,1.4165,928.0,3322.0,4127.0,258.0,True,True,True,True,4,positive
fantasy,214,7.44,1.6183,1483.0,,,1320.0,True,False,False,True,2,positive
food,215,7.44,1.2149,198.0,557.0,445.0,1335.0,True,True,True,True,4,positive
honey,216,7.44,1.5928,1078.0,,,496.0,True,False,False,True,2,positive
miracles,217,7.44,1.9395,,,,3821.0,False,False,False,True,1,positive
sex,218,7.44,1.6801,375.0,1356.0,1959.0,787.0,True,True,True,True,4,positive
sing,219,7.44,1.3426,1040.0,3950.0,3943.0,297.0,True,True,True,True,4,positive
starlight,220,7.44,1.4165,,,,4347.0,False,False,False,True,1,positive
thankful,221,7.44,1.5005,1374.0,,,3569.0,True,False,False,True,2,positive
wins,222,7.44,1.2643,1236.0,,3064.0,4546.0,True,False,True,True,3,positive
achieve,223,7.42,1.2304,,2223.0,3456.0,,False,True,True,False,2,positive
adored,224,7.42,1.4441,,,1326.0,,False,False,True,False,1,positive
cash,225,7.42,1.6671,755.0,2494.0,1310.0,909.0,True,True,True,True,4,positive
dances,226,7.42,1.295,,,,4757.0,False,False,False,True,1,positive
gorgeous,227,7.42,1.9597,1645.0,,,,True,False,False,False,1,positive
grandchildren,228,7.42,1.5131,,,293.0,,False,False,True,False,1,positive
incredible,229,7.42,1.3415,2208.0,,,3783.0,True,False,False,True,2,positive
lunch,230,7.42,1.0897,470.0,4895.0,2640.0,3286.0,True,True,True,True,4,positive
mommy,231,7.42,1.7623,2482.0,,,2584.0,True,False,False,True,2,positive
parties,232,7.42,1.4441,2595.0,1058.0,1612.0,3809.0,True,True,True,True,4,positive
perfect,233,7.42,1.7154,642.0,1411.0,2277.0,625.0,True,True,True,True,4,positive
saturday,234,7.42,1.7154,620.0,4379.0,224.0,1548.0,True,True,True,True,4,positive
surprise,235,7.42,1.5398,1901.0,2902.0,2992.0,1314.0,True,True,True,True,4,positive
truth,236,7.42,1.401,713.0,595.0,2238.0,393.0,True,True,True,True,4,positive
blessing,237,7.4,1.7379,4347.0,,,3875.0,True,False,False,True,2,positive
creative,238,7.4,1.1952,1834.0,3012.0,2020.0,,True,True,True,False,3,positive
dinner,239,7.4,1.1429,245.0,2292.0,1328.0,2344.0,True,True,True,True,4,positive
kindness,240,7.4,1.088,4849.0,,4445.0,4104.0,True,False,True,True,3,positive
pleased,241,7.4,1.1606,4079.0,2903.0,4069.0,4770.0,True,True,True,True,4,positive
sexy,242,7.4,1.2289,459.0,,,1111.0,True,False,False,True,2,positive
strength,243,7.4,1.1606,2951.0,852.0,1876.0,967.0,True,True,True,True,4,positive
thank,244,7.4,1.1249,259.0,2659.0,3584.0,736.0,True,True,True,True,4,positive
thanks,245,7.4,1.5119,150.0,2893.0,3755.0,1773.0,True,True,True,True,4,positive
thanksgiving,246,7.4,1.4142,784.0,,,,True,False,False,False,1,positive
treasure,247,7.4,1.7143,3879.0,,,2595.0,True,False,False,True,2,positive
valentine,248,7.4,1.7023,1430.0,,,,True,False,False,False,1,positive
riches,249,7.39,1.6685,,,,3090.0,False,False,False,True,1,positive
awarded,250,7.38,1.1586,,,2556.0,,False,False,True,False,1,positive
fabulous,251,7.38,1.5372,2419.0,,,,True,False,False,False,1,positive
grandfather,252,7.38,1.427,,,573.0,,False,False,True,False,1,positive
heavenly,253,7.38,1.8282,,,,2469.0,False,False,False,True,1,positive
hope,254,7.38,1.3076,92.0,705.0,591.0,291.0,True,True,True,True,4,positive
kids,255,7.38,1.6022,223.0,4296.0,1465.0,612.0,True,True,True,True,4,positive
magical,256,7.38,1.2919,3346.0,,,3927.0,True,False,False,True,2,positive
million,257,7.38,1.427,1027.0,1032.0,70.0,711.0,True,True,True,True,4,positive
nice,258,7.38,1.5104,102.0,3154.0,2058.0,587.0,True,True,True,True,4,positive
sundays,259,7.38,1.4553,4740.0,,2117.0,,True,False,True,False,2,positive
wealth,260,7.38,1.2271,4292.0,1746.0,4969.0,3178.0,True,True,True,True,4,positive
fantasies,261,7.36,1.3898,,,,3592.0,False,False,False,True,1,positive
cares,262,7.36,1.3962,2909.0,,,1245.0,True,False,False,True,2,positive
dance,263,7.36,1.4394,694.0,2619.0,587.0,262.0,True,True,True,True,4,positive
daughters,264,7.36,1.2249,,3959.0,750.0,4031.0,False,True,True,True,3,positive
favorable,265,7.36,1.5086,,4193.0,,,False,True,False,False,1,positive
friend's,266,7.36,1.6383,,,,,False,False,False,False,0,positive
generosity,267,7.36,1.2739,,,3473.0,,False,False,True,False,1,positive
grateful,268,7.36,1.4675,2254.0,,4615.0,4685.0,True,False,True,True,3,positive
inspired,269,7.36,1.1021,1638.0,3648.0,2706.0,,True,True,True,False,3,positive
mothers,270,7.36,1.4675,,3280.0,4594.0,3118.0,False,True,True,True,3,positive
parents,271,7.36,1.5086,903.0,846.0,773.0,2518.0,True,True,True,True,4,positive
valentine's,272,7.36,1.3211,,,,,False,False,False,False,0,positive
intelligent,273,7.35,1.5504,,3750.0,,,False,True,False,False,1,positive
liberation,274,7.35,1.3039,,4497.0,,,False,True,False,False,1,positive
melody,275,7.35,1.7742,,,,1821.0,False,False,False,True,1,positive
wonderland,276,7.35,1.64,,,,4126.0,False,False,False,True,1,positive
beloved,277,7.34,1.2715,,4900.0,149.0,,False,True,True,False,2,positive
caring,278,7.34,1.4086,,,2485.0,,False,False,True,False,1,positive
homemade,279,7.34,1.239,3204.0,,,,True,False,False,False,1,positive
inspiring,280,7.34,1.1886,4265.0,,,,True,False,False,False,1,positive
movies,281,7.34,1.4514,739.0,,1904.0,2701.0,True,False,True,True,3,positive
precious,282,7.34,1.5201,2990.0,4136.0,,1329.0,True,True,False,True,3,positive
respect,283,7.34,1.6113,1108.0,681.0,2009.0,1001.0,True,True,True,True,4,positive
satisfaction,284,7.34,1.1178,,2450.0,,2878.0,False,True,False,True,2,positive
satisfy,285,7.34,1.4373,,3902.0,,2507.0,False,True,False,True,2,positive
wedding,286,7.34,1.5201,700.0,,3095.0,2454.0,True,False,True,True,3,positive
accomplished,287,7.32,1.3005,,2767.0,3951.0,,False,True,True,False,2,positive
adorable,288,7.32,1.6956,1524.0,,,,True,False,False,False,1,positive
championship,289,7.32,1.3619,3707.0,,1966.0,,True,False,True,False,2,positive
comfortable,290,7.32,1.0962,3887.0,3733.0,3311.0,4898.0,True,True,True,True,4,positive
cuddle,291,7.32,1.7313,3764.0,,,,True,False,False,False,1,positive
games,292,7.32,1.2196,671.0,3441.0,559.0,1057.0,True,True,True,True,4,positive
grandson,293,7.32,1.4769,,,2496.0,,False,False,True,False,1,positive
life,294,7.32,1.6956,84.0,103.0,157.0,70.0,True,True,True,True,4,positive
lovely,295,7.32,1.5444,782.0,4534.0,,1136.0,True,True,False,True,3,positive
pretty,296,7.32,1.6956,152.0,1983.0,1684.0,448.0,True,True,True,True,4,positive
proud,297,7.32,1.4348,695.0,3463.0,1808.0,1034.0,True,True,True,True,4,positive
rose,298,7.32,1.463,1938.0,1384.0,531.0,1145.0,True,True,True,True,4,positive
united,299,7.32,1.2027,1662.0,244.0,98.0,3021.0,True,True,True,True,4,positive
fruits,300,7.31,1.5303,,4170.0,,,False,True,False,False,1,positive
adventure,301,7.3,1.4321,2046.0,,,,True,False,False,False,1,positive
couple,302,7.3,1.2657,453.0,2357.0,1432.0,1309.0,True,True,True,True,4,positive
dollars,303,7.3,1.4604,2503.0,2056.0,863.0,1915.0,True,True,True,True,4,positive
eating,304,7.3,1.7757,532.0,3218.0,2595.0,2376.0,True,True,True,True,4,positive
fortune,305,7.3,1.3887,4327.0,2985.0,4600.0,2013.0,True,True,True,True,4,positive
generous,306,7.3,1.4743,,4377.0,2523.0,,False,True,True,False,2,positive
golden,307,7.3,1.3439,1835.0,2631.0,2419.0,1025.0,True,True,True,True,4,positive
hahah,308,7.3,1.5419,1542.0,,,,True,False,False,False,1,positive
hooray,309,7.3,2.0727,4511.0,,,,True,False,False,False,1,positive
intelligence,310,7.3,1.1995,,1753.0,1257.0,,False,True,True,False,2,positive
lover,311,7.3,1.9299,3444.0,4730.0,4901.0,630.0,True,True,True,True,4,positive
luxury,312,7.3,1.6812,2845.0,,4254.0,,True,False,True,False,2,positive
money,313,7.3,1.8434,163.0,414.0,236.0,225.0,True,True,True,True,4,positive
passion,314,7.3,1.4743,1955.0,2811.0,2908.0,1216.0,True,True,True,True,4,positive
prosperity,315,7.3,1.5286,,4090.0,,,False,True,False,False,1,positive
remarkable,316,7.3,1.3286,,2134.0,3525.0,,False,True,True,False,2,positive
sweetie,317,7.3,1.1294,3167.0,,,,True,False,False,False,1,positive
valentines,318,7.3,1.7757,1443.0,,,,True,False,False,False,1,positive
educated,319,7.29,1.307,,3270.0,,,False,True,False,False,1,positive
gently,320,7.29,1.2748,,4602.0,,2690.0,False,True,False,True,2,positive
baby,321,7.28,1.8521,157.0,2388.0,2147.0,53.0,True,True,True,True,4,positive
books,322,7.28,1.3254,911.0,599.0,401.0,2166.0,True,True,True,True,4,positive
bride,323,7.28,1.5391,3811.0,,3353.0,3521.0,True,False,True,True,3,positive
cherished,324,7.28,1.5784,,,647.0,,False,False,True,False,1,positive
cookies,325,7.28,1.7028,1391.0,,,,True,False,False,False,1,positive
dessert,326,7.28,1.7733,4525.0,,,,True,False,False,False,1,positive
employed,327,7.28,1.3559,,1119.0,4869.0,,False,True,True,False,2,positive
glow,328,7.28,1.2943,,,,1696.0,False,False,False,True,1,positive
god,329,7.28,1.9277,136.0,181.0,1790.0,210.0,True,True,True,True,4,positive
great-grandchildren,330,7.28,1.7028,,,,,False,False,False,False,0,positive
helped,331,7.28,1.2943,2226.0,2063.0,975.0,3315.0,True,True,True,True,4,positive
independence,332,7.28,1.5913,,1745.0,2634.0,,False,True,True,False,2,positive
likes,333,7.28,1.5391,1541.0,,4118.0,1440.0,True,False,True,True,3,positive
luckily,334,7.28,1.6542,4888.0,,,,True,False,False,False,1,positive
moon,335,7.28,1.3708,818.0,2618.0,4687.0,454.0,True,True,True,True,4,positive
perfectly,336,7.28,1.5913,3921.0,2339.0,,4196.0,True,True,False,True,3,positive
satisfied,337,7.28,1.5258,4295.0,2603.0,,1520.0,True,True,False,True,3,positive
sunday,338,7.28,1.9171,517.0,2537.0,114.0,1183.0,True,True,True,True,4,positive
juicy,339,7.27,1.2037,,,,4900.0,False,False,False,True,1,positive
